,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusValue,testStation,totalDocks,PUMA
0,,15,16,,304,,2019-01-18 02:43:11 PM,40.70463334,,-74.01361706,,Broadway & Battery Pl,,Broadway & Battery Pl,In Service,False,33,3810.0
1,,35,16,,359,,2019-01-18 02:45:40 PM,40.75510267,,-73.97498696,,E 47 St & Park Ave,,E 47 St & Park Ave,In Service,False,53,3808.0
2,,29,16,,377,,2019-01-18 02:45:32 PM,40.72243797,,-74.00566443,,6 Ave & Canal St,,6 Ave & Canal St,In Service,False,45,3810.0
3,,18,17,,402,,2019-01-18 02:45:52 PM,40.740343200000005,,-73.98955109,,Broadway & E 22 St,,Broadway & E 22 St,In Service,False,39,3807.0
4,,18,0,,3255,,2019-01-18 02:45:27 PM,40.7505853470215,,-73.9946848154068,,8 Ave & W 31 St,,8 Ave & W 31 St,In Service,False,19,3807.0
5,,25,15,,3443,,2019-01-18 02:45:31 PM,40.76132983124814,,-73.97982001304626,,W 52 St & 6 Ave,,W 52 St & 6 Ave,In Service,False,41,3807.0
6,,18,20,,72,,2019-01-18 02:44:02 PM,40.76727216,,-73.99392888,,W 52 St & 11 Ave,,W 52 St & 11 Ave,In Service,False,39,3807.0
7,,26,6,,79,,2019-01-18 02:45:27 PM,40.71911552,,-74.00666661,,Franklin St & W Broadway,,Franklin St & W Broadway,In Service,False,33,3810.0
8,,1,26,,82,,2019-01-18 02:42:56 PM,40.71117416,,-74.00016545,,St James Pl & Pearl St,,St James Pl & Pearl St,In Service,False,27,3809.0
9,,0,0,,83,,2019-01-16 07:41:52 AM,40.68382604,,-73.97632328,,Atlantic Ave & Fort Greene Pl,,Atlantic Ave & Fort Greene Pl,Not In Service,False,0,4004.0
10,,6,12,,119,,2019-01-18 02:43:56 PM,40.69608941,,-73.97803415,,Park Ave & St Edwards St,,Park Ave & St Edwards St,In Service,False,19,4004.0
11,,5,14,,120,,2019-01-18 02:46:02 PM,40.68676793,,-73.95928168,,Lexington Ave & Classon Ave,,Lexington Ave & Classon Ave,In Service,False,19,4003.0
12,,25,4,,127,,2019-01-18 02:44:57 PM,40.73172428,,-74.00674436,,Barrow St & Hudson St,,Barrow St & Hudson St,In Service,False,31,3810.0
13,,25,3,,128,,2019-01-18 02:42:46 PM,40.72710258,,-74.00297088,,MacDougal St & Prince St,,MacDougal St & Prince St,In Service,False,30,3810.0
14,,20,4,,143,,2019-01-18 02:45:56 PM,40.69239502,,-73.99337909,,Clinton St & Joralemon St,,Clinton St & Joralemon St,In Service,False,24,4004.0
15,,14,4,,144,,2019-01-18 02:46:15 PM,40.69839895,,-73.98068914,,Nassau St & Navy St,,Nassau St & Navy St,In Service,False,19,4004.0
16,,22,12,,146,,2019-01-18 02:44:41 PM,40.71625008,,-74.0091059,,Hudson St & Reade St,,Hudson St & Reade St,In Service,False,39,3810.0
17,,10,19,,150,,2019-01-18 02:44:16 PM,40.720873600000004,,-73.98085795,,E 2 St & Avenue C,,E 2 St & Avenue C,In Service,False,29,3809.0
18,,9,22,,151,,2019-01-18 02:43:42 PM,40.72210378668603,,-73.99724900722505,,Cleveland Pl & Spring St,,Cleveland Pl & Spring St,In Service,False,33,3810.0
19,,7,16,,157,,2019-01-18 02:45:49 PM,40.69089272,,-73.99612349,,Henry St & Atlantic Ave,,Henry St & Atlantic Ave,In Service,False,23,4004.0
20,,27,8,,161,,2019-01-18 02:44:00 PM,40.72917025,,-73.99810231,,LaGuardia Pl & W 3 St,,LaGuardia Pl & W 3 St,In Service,False,35,3810.0
21,,9,37,,164,,2019-01-18 02:46:19 PM,40.75323098,,-73.97032517,,E 47 St & 2 Ave,,E 47 St & 2 Ave,In Service,False,47,3808.0
22,,15,27,,167,,2019-01-18 02:43:19 PM,40.7489006,,-73.97604882,,E 39 St & 3 Ave,,E 39 St & 3 Ave,In Service,False,45,3808.0
23,,44,1,,168,,2019-01-18 02:46:12 PM,40.73971301,,-73.99456405,,W 18 St & 6 Ave,,W 18 St & 6 Ave,In Service,False,47,3807.0
24,,16,33,,173,,2019-01-18 02:42:23 PM,40.76068327096592,,-73.98452728986742,,Broadway & W 49 St,,Broadway & W 49 St,In Service,False,51,3807.0
25,,7,19,,174,,2019-01-18 02:46:12 PM,40.7381765,,-73.97738662,,E 25 St & 1 Ave,,E 25 St & 1 Ave,In Service,False,30,3808.0
26,,23,22,,195,,2019-01-18 02:45:59 PM,40.70905623,,-74.01043382,,Liberty St & Broadway,,Liberty St & Broadway,In Service,False,45,3810.0
27,,8,19,,212,,2019-01-18 02:45:26 PM,40.74334935,,-74.00681753,,W 16 St & The High Line,,W 16 St & The High Line,In Service,False,28,3807.0
28,,3,20,,216,,2019-01-18 02:45:49 PM,40.70037867,,-73.99548059,,Columbia Heights & Cranberry St,,Columbia Heights & Cranberry St,In Service,False,23,4004.0
29,,27,12,,217,,2019-01-18 02:46:11 PM,40.70277159,,-73.99383605,,Old Fulton St,,Old Fulton St,In Service,False,39,4004.0
30,,29,3,,223,,2019-01-18 02:44:53 PM,40.73781509,,-73.99994661,,W 13 St & 7 Ave,,W 13 St & 7 Ave,In Service,False,33,3810.0
31,,12,42,,228,,2019-01-18 02:45:14 PM,40.7546011026,,-73.971878855,,E 48 St & 3 Ave,,E 48 St & 3 Ave,In Service,False,55,3808.0
