trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
3,20:21:00,20:21:00,87,1,,0,0,1
3,20:29:00,20:29:00,20,2,,0,0,1
3,20:41:00,20:41:00,8,3,,0,0,1
3,20:49:00,20:49:00,19,4,,0,0,1
3,20:55:00,20:55:00,18,5,,0,0,1
3,21:01:00,21:01:00,4,6,,0,0,1
3,21:04:00,21:04:00,17,7,,0,0,1
6,10:13:00,10:13:00,87,1,,0,0,1
6,10:29:00,10:29:00,17,2,,0,0,1
6,10:37:00,10:37:00,90,3,,0,0,1
6,10:45:00,10:45:00,25,4,,0,0,1
6,10:53:00,10:53:00,89,5,,0,0,1
43,21:10:00,21:10:00,17,1,,0,0,1
43,21:16:00,21:16:00,4,2,,0,0,1
43,21:22:00,21:22:00,18,3,,0,0,1
43,21:30:00,21:30:00,19,4,,0,0,1
43,21:37:00,21:37:00,8,5,,0,0,1
43,21:49:00,21:49:00,20,6,,0,0,1
43,21:53:00,21:53:00,87,7,,0,0,1
61,07:43:00,07:43:00,87,1,,0,0,1
61,07:59:00,07:59:00,17,2,,0,0,1
61,08:07:00,08:07:00,90,3,,0,0,1
61,08:15:00,08:15:00,25,4,,0,0,1
61,08:23:00,08:23:00,89,5,,0,0,1
62,08:13:00,08:13:00,87,1,,0,0,1
62,08:29:00,08:29:00,17,2,,0,0,1
62,08:37:00,08:37:00,90,3,,0,0,1
62,08:45:00,08:45:00,25,4,,0,0,1
62,08:53:00,08:53:00,89,5,,0,0,1
63,08:43:00,08:43:00,87,1,,0,0,1
63,08:59:00,08:59:00,17,2,,0,0,1
63,09:07:00,09:07:00,90,3,,0,0,1
63,09:15:00,09:15:00,25,4,,0,0,1
63,09:23:00,09:23:00,89,5,,0,0,1
64,09:13:00,09:13:00,87,1,,0,0,1
64,09:29:00,09:29:00,17,2,,0,0,1
64,09:37:00,09:37:00,90,3,,0,0,1
64,09:45:00,09:45:00,25,4,,0,0,1
64,09:53:00,09:53:00,89,5,,0,0,1
65,09:43:00,09:43:00,87,1,,0,0,1
65,09:59:00,09:59:00,17,2,,0,0,1
65,10:07:00,10:07:00,90,3,,0,0,1
65,10:15:00,10:15:00,25,4,,0,0,1
65,10:23:00,10:23:00,89,5,,0,0,1
66,11:13:00,11:13:00,87,1,,0,0,1
66,11:29:00,11:29:00,17,2,,0,0,1
66,11:37:00,11:37:00,90,3,,0,0,1
66,11:45:00,11:45:00,25,4,,0,0,1
66,11:53:00,11:53:00,89,5,,0,0,1
67,12:13:00,12:13:00,87,1,,0,0,1
67,12:29:00,12:29:00,17,2,,0,0,1
67,12:37:00,12:37:00,90,3,,0,0,1
67,12:45:00,12:45:00,25,4,,0,0,1
67,12:53:00,12:53:00,89,5,,0,0,1
68,13:13:00,13:13:00,87,1,,0,0,1
68,13:29:00,13:29:00,17,2,,0,0,1
68,13:37:00,13:37:00,90,3,,0,0,1
68,13:45:00,13:45:00,25,4,,0,0,1
68,13:53:00,13:53:00,89,5,,0,0,1
69,14:13:00,14:13:00,87,1,,0,0,1
69,14:29:00,14:29:00,17,2,,0,0,1
69,14:37:00,14:37:00,90,3,,0,0,1
69,14:45:00,14:45:00,25,4,,0,0,1
69,14:53:00,14:53:00,89,5,,0,0,1
70,15:13:00,15:13:00,87,1,,0,0,1
70,15:29:00,15:29:00,17,2,,0,0,1
70,15:37:00,15:37:00,90,3,,0,0,1
70,15:45:00,15:45:00,25,4,,0,0,1
70,15:53:00,15:53:00,89,5,,0,0,1
71,16:13:00,16:13:00,87,1,,0,0,1
71,16:29:00,16:29:00,17,2,,0,0,1
71,16:37:00,16:37:00,90,3,,0,0,1
71,16:45:00,16:45:00,25,4,,0,0,1
71,16:53:00,16:53:00,89,5,,0,0,1
72,16:43:00,16:43:00,87,1,,0,0,1
72,16:59:00,16:59:00,17,2,,0,0,1
72,17:07:00,17:07:00,90,3,,0,0,1
72,17:15:00,17:15:00,25,4,,0,0,1
72,17:23:00,17:23:00,89,5,,0,0,1
73,17:13:00,17:13:00,87,1,,0,0,1
73,17:29:00,17:29:00,17,2,,0,0,1
73,17:37:00,17:37:00,90,3,,0,0,1
73,17:45:00,17:45:00,25,4,,0,0,1
73,17:53:00,17:53:00,89,5,,0,0,1
74,17:43:00,17:43:00,87,1,,0,0,1
74,17:59:00,17:59:00,17,2,,0,0,1
74,18:07:00,18:07:00,90,3,,0,0,1
74,18:15:00,18:15:00,25,4,,0,0,1
74,18:23:00,18:23:00,89,5,,0,0,1
75,18:13:00,18:13:00,87,1,,0,0,1
75,18:29:00,18:29:00,17,2,,0,0,1
75,18:37:00,18:37:00,90,3,,0,0,1
75,18:45:00,18:45:00,25,4,,0,0,1
75,18:53:00,18:53:00,89,5,,0,0,1
76,18:43:00,18:43:00,87,1,,0,0,1
76,18:59:00,18:59:00,17,2,,0,0,1
76,19:07:00,19:07:00,90,3,,0,0,1
76,19:15:00,19:15:00,25,4,,0,0,1
76,19:23:00,19:23:00,89,5,,0,0,1
77,19:43:00,19:43:00,87,1,,0,0,1
77,19:59:00,19:59:00,17,2,,0,0,1
77,20:07:00,20:07:00,90,3,,0,0,1
77,20:15:00,20:15:00,25,4,,0,0,1
77,20:23:00,20:23:00,89,5,,0,0,1
78,20:43:00,20:43:00,87,1,,0,0,1
78,20:59:00,20:59:00,17,2,,0,0,1
78,21:07:00,21:07:00,90,3,,0,0,1
78,21:15:00,21:15:00,25,4,,0,0,1
78,21:23:00,21:23:00,89,5,,0,0,1
79,21:43:00,21:43:00,87,1,,0,0,1
79,21:59:00,21:59:00,17,2,,0,0,1
79,22:07:00,22:07:00,90,3,,0,0,1
79,22:15:00,22:15:00,25,4,,0,0,1
79,22:23:00,22:23:00,89,5,,0,0,1
80,07:00:00,07:00:00,89,1,,0,0,1
80,07:10:00,07:10:00,25,2,,0,0,1
80,07:16:00,07:16:00,90,3,,0,0,1
80,07:24:00,07:24:00,17,4,,0,0,1
80,07:38:00,07:38:00,87,5,,0,0,1
81,07:30:00,07:30:00,89,1,,0,0,1
81,07:40:00,07:40:00,25,2,,0,0,1
81,07:46:00,07:46:00,90,3,,0,0,1
81,07:54:00,07:54:00,17,4,,0,0,1
81,08:08:00,08:08:00,87,5,,0,0,1
82,08:28:00,08:28:00,89,1,,0,0,1
82,08:38:00,08:38:00,25,2,,0,0,1
82,08:44:00,08:44:00,90,3,,0,0,1
82,08:52:00,08:52:00,17,4,,0,0,1
82,09:06:00,09:06:00,87,5,,0,0,1
83,08:58:00,08:58:00,89,1,,0,0,1
83,09:08:00,09:08:00,25,2,,0,0,1
83,09:14:00,09:14:00,90,3,,0,0,1
83,09:22:00,09:22:00,17,4,,0,0,1
83,09:36:00,09:36:00,87,5,,0,0,1
84,09:28:00,09:28:00,89,1,,0,0,1
84,09:38:00,09:38:00,25,2,,0,0,1
84,09:44:00,09:44:00,90,3,,0,0,1
84,09:52:00,09:52:00,17,4,,0,0,1
84,10:06:00,10:06:00,87,5,,0,0,1
