,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction,time
0,KNYC,observation,1483257060,KNYC,Nyc/Central Park,1483249860,N,44,26,2600,Cloudy,2,Falling,25,44,47,29.74,10,44,,VAR,,3,,,,0,,Low,44,0,,,,,OVC,,,,,,,,,,2017-01-01 00:51:00
1,KNYC,observation,1483260660,KNYC,Nyc/Central Park,1483253460,N,44,26,2600,Cloudy,,,26,44,49,29.75,10,42,260,W,23,5,,,,0.0,,Low,42,0,,,,,OVC,,,,,,,,,,2017-01-01 01:51:00
2,KNYC,observation,1483264260,KNYC,Nyc/Central Park,1483257060,N,45,26,2600,Cloudy,,,25,45,46,29.76,10,,,,,,,,,0,,Low,,0,,,,,OVC,,,,,,,,,,2017-01-01 02:51:00
3,KNYC,observation,1483267860,KNYC,Nyc/Central Park,1483260660,N,44,29,2900,Partly Cloudy,1,Rising Rapidly,25,44,47,29.78,10,39,250,WSW,18,10,,,,0,,Low,39,0,,,,,FEW,,,,,,,,,,2017-01-01 03:51:00
4,KNYC,observation,1483271460,KNYC,Nyc/Central Park,1483264260,N,45,27,2700,Mostly Cloudy,,,24,45,44,29.8,10,41,250,WSW,,7,,,,0,,Low,41,0,,,,,BKN,,,,,,,,,,2017-01-01 04:51:00
5,KNYC,observation,1483275060,KNYC,Nyc/Central Park,1483267860,N,44,33,3300,Fair,,,25,44,47,29.84,10,44,,VAR,,3,,,,0,,Low,44,0,,,,,CLR,,,,,,,,,,2017-01-01 05:51:00
6,KNYC,observation,1483278660,KNYC,Nyc/Central Park,1483271460,D,44,34,3400,Fair,1,Rising Rapidly,25,44,47,29.87,10,,,,,,,,,0,,Low,,0,,,,,CLR,,,,,,,,,,2017-01-01 06:51:00
7,KNYC,observation,1483282260,KNYC,Nyc/Central Park,1483275060,D,44,34,3400,Fair,,,26,44,49,29.9,10,40,260,W,,8,,,,0,,Low,40,1,,,,,CLR,,,,,,,,,,2017-01-01 07:51:00
8,KNYC,observation,1483285860,KNYC,Nyc/Central Park,1483278660,D,44,34,3400,Fair,,,26,44,49,29.94,10,41,,VAR,18,6,,,,0,,Low,41,1,,,,,CLR,,,,,,,,,,2017-01-01 08:51:00
9,KNYC,observation,1483289460,KNYC,Nyc/Central Park,1483282260,D,46,30,3000,Partly Cloudy,1,Rising Rapidly,28,46,50,29.99,10,41,300,WNW,20,9,,,,0,,Low,41,1,,,,,SCT,,,,,,,,,,2017-01-01 09:51:00
10,KNYC,observation,1483293060,KNYC,Nyc/Central Park,1483285860,D,45,34,3400,Fair,,,23,45,42,30.01,10,39,310,NW,18,12,,,,0,,Low,39,2,,,,,CLR,,,,,,,,,,2017-01-01 10:51:00
11,KNYC,observation,1483296660,KNYC,Nyc/Central Park,1483289460,D,46,34,3400,Fair,,,23,46,40,30.02,10,,,,,,,,,0,,Low,,2,,,,,CLR,,,,,,,,,,2017-01-01 11:51:00
12,KNYC,observation,1483300260,KNYC,Nyc/Central Park,1483293060,D,47,34,3400,Fair,1,Rising,22,47,37,30.03,10,,,,,,,,,0,,Low,,2,,,,,CLR,,,,,,,,,,2017-01-01 12:51:00
13,KNYC,observation,1483303860,KNYC,Nyc/Central Park,1483296660,D,47,34,3400,Fair,,,20,47,34,30.04,10,45,,VAR,,5,,,,0,,Low,45,1,,,,,CLR,,,,,,,,,,2017-01-01 13:51:00
14,KNYC,observation,1483307460,KNYC,Nyc/Central Park,1483300260,D,47,34,3400,Fair,,,18,47,32,30.07,10,45,,VAR,,5,,,,0,,Low,45,1,,,,,CLR,,,,,,,,,,2017-01-01 14:51:00
15,KNYC,observation,1483311060,KNYC,Nyc/Central Park,1483303860,D,47,34,3400,Fair,1,Rising Rapidly,18,47,32,30.11,10,44,260,W,,6,,,,0,,Low,44,1,,,,,CLR,,,,,,,,,,2017-01-01 15:51:00
16,KNYC,observation,1483314660,KNYC,Nyc/Central Park,1483307460,N,46,33,3300,Fair,,,17,46,31,30.15,10,46,,CALM,,0,,,,0,,Low,46,0,,,,,CLR,,,,,,,,,,2017-01-01 16:51:00
17,KNYC,observation,1483318260,KNYC,Nyc/Central Park,1483311060,N,45,33,3300,Fair,,,16,45,31,30.17,10,45,,CALM,,0,,,,0,,Low,45,0,,,,,CLR,,,,,,,,,,2017-01-01 17:51:00
18,KNYC,observation,1483321860,KNYC,Nyc/Central Park,1483314660,N,43,33,3300,Fair,1,Rising,19,43,38,30.2,10,43,60,ENE,,3,,,,0,,Low,43,0,,,,,CLR,,,,,,,,,,2017-01-01 18:51:00
19,KNYC,observation,1483325460,KNYC,Nyc/Central Park,1483318260,N,41,26,2600,Cloudy,,,20,41,43,30.23,10,38,60,ENE,,5,,,,0,,Low,38,0,,,,,CLR,,,,,,,,,,2017-01-01 19:51:00
20,KNYC,observation,1483329060,KNYC,Nyc/Central Park,1483321860,N,42,33,3300,Fair,,,18,42,38,30.25,10,38,50,NE,,6,,,,0,,Low,38,0,,,,,CLR,,,,,,,,,,2017-01-01 20:51:00
21,KNYC,observation,1483332660,KNYC,Nyc/Central Park,1483325460,N,42,33,3300,Fair,1,Rising,18,42,38,30.28,10,39,50,NE,,5,,,,0,,Low,39,0,,,,,CLR,,,,,,,,,,2017-01-01 21:51:00
22,KNYC,observation,1483336260,KNYC,Nyc/Central Park,1483329060,N,41,26,2600,Cloudy,,,19,41,41,30.29,10,38,60,ENE,,5,,,,0,,Low,38,0,,,,,CLR,,,,,,,,,,2017-01-01 22:51:00
23,KNYC,observation,1483339860,KNYC,Nyc/Central Park,1483332660,N,41,26,2600,Cloudy,,,20,41,43,30.27,10,36,60,ENE,,8,48,40,,0,,Low,36,0,,,,,CLR,,,,,,,,,,2017-01-01 23:51:00
0,KNYC,observation,1483343460,KNYC,Nyc/Central Park,1483336260,N,40,33,3300,Fair,2,Falling Rapidly,23,40,51,30.28,10,34,60,ENE,,8,,,,0,,Low,34,0,,,,,CLR,,,,,,,,,,2017-01-02 00:51:00
1,KNYC,observation,1483347060,KNYC,Nyc/Central Park,1483339860,N,38,26,2600,Cloudy,,,28,38,68,30.29,10,31,70,ENE,,9,,,,0,,Low,31,0,,,,,CLR,,,,,,,,,,2017-01-02 01:51:00
2,KNYC,observation,1483350660,KNYC,Nyc/Central Park,1483343460,N,38,33,3300,Fair,,,27,38,65,30.29,10,33,,VAR,,6,,,,0,,Low,33,0,,,,,CLR,,,,,,,,,,2017-01-02 02:51:00
3,KNYC,observation,1483354260,KNYC,Nyc/Central Park,1483347060,N,39,33,3300,Fair,1,Rising,24,39,55,30.3,10,34,90,E,,7,,,,0,,Low,34,0,,,,,CLR,,,,,,,,,,2017-01-02 03:51:00
4,KNYC,observation,1483357860,KNYC,Nyc/Central Park,1483350660,N,38,26,2600,Cloudy,,,25,38,60,30.32,10,33,50,NE,,7,,,,0,,Low,33,0,,,,,CLR,,,,,,,,,,2017-01-02 04:51:00
5,KNYC,observation,1483361460,KNYC,Nyc/Central Park,1483354260,N,38,33,3300,Fair,,,24,38,57,30.32,10,33,60,ENE,,7,,,,0,,Low,33,0,,,,,CLR,,,,,,,,,,2017-01-02 05:51:00
6,KNYC,observation,1483365060,KNYC,Nyc/Central Park,1483357860,D,39,28,2800,Mostly Cloudy,1,Rising,24,39,55,30.32,10,34,,VAR,,7,,,,0,,Low,34,0,,,,,BKN,,,,,,,,,,2017-01-02 06:51:00
