,time,temp,wx_phrase,heat_index,rh,vis,gust,precip_total,precip_hrly,snow_hrly,minute
0,2017-01-01 01:00:00,44.0,Cloudy,44.0,47.0,10.0,,,0.0,,0
1,2017-01-01 02:00:00,44.0,Cloudy,44.0,49.0,10.0,23.0,,0.0,,0
2,2017-01-01 03:00:00,45.0,Cloudy,45.0,46.0,10.0,,,0.0,,0
3,2017-01-01 04:00:00,44.0,Partly Cloudy,44.0,47.0,10.0,18.0,,0.0,,0
4,2017-01-01 05:00:00,45.0,Mostly Cloudy,45.0,44.0,10.0,,,0.0,,0
5,2017-01-01 06:00:00,44.0,Fair,44.0,47.0,10.0,,,0.0,,0
6,2017-01-01 07:00:00,44.0,Fair,44.0,47.0,10.0,,,0.0,,0
7,2017-01-01 08:00:00,44.0,Fair,44.0,49.0,10.0,,,0.0,,0
8,2017-01-01 09:00:00,44.0,Fair,44.0,49.0,10.0,18.0,,0.0,,0
9,2017-01-01 10:00:00,46.0,Partly Cloudy,46.0,50.0,10.0,20.0,,0.0,,0
10,2017-01-01 11:00:00,45.0,Fair,45.0,42.0,10.0,18.0,,0.0,,0
11,2017-01-01 12:00:00,46.0,Fair,46.0,40.0,10.0,,,0.0,,0
12,2017-01-01 13:00:00,47.0,Fair,47.0,37.0,10.0,,,0.0,,0
13,2017-01-01 14:00:00,47.0,Fair,47.0,34.0,10.0,,,0.0,,0
14,2017-01-01 15:00:00,47.0,Fair,47.0,32.0,10.0,,,0.0,,0
15,2017-01-01 16:00:00,47.0,Fair,47.0,32.0,10.0,,,0.0,,0
16,2017-01-01 17:00:00,46.0,Fair,46.0,31.0,10.0,,,0.0,,0
17,2017-01-01 18:00:00,45.0,Fair,45.0,31.0,10.0,,,0.0,,0
18,2017-01-01 19:00:00,43.0,Fair,43.0,38.0,10.0,,,0.0,,0
19,2017-01-01 20:00:00,41.0,Cloudy,41.0,43.0,10.0,,,0.0,,0
20,2017-01-01 21:00:00,42.0,Fair,42.0,38.0,10.0,,,0.0,,0
21,2017-01-01 22:00:00,42.0,Fair,42.0,38.0,10.0,,,0.0,,0
22,2017-01-01 23:00:00,41.0,Cloudy,41.0,41.0,10.0,,,0.0,,0
23,2017-01-02 00:00:00,41.0,Cloudy,41.0,43.0,10.0,,,0.0,,0
0,2017-01-02 01:00:00,40.0,Fair,40.0,51.0,10.0,,,0.0,,0
1,2017-01-02 02:00:00,38.0,Cloudy,38.0,68.0,10.0,,,0.0,,0
2,2017-01-02 03:00:00,38.0,Fair,38.0,65.0,10.0,,,0.0,,0
3,2017-01-02 04:00:00,39.0,Fair,39.0,55.0,10.0,,,0.0,,0
4,2017-01-02 05:00:00,38.0,Cloudy,38.0,60.0,10.0,,,0.0,,0
5,2017-01-02 06:00:00,38.0,Fair,38.0,57.0,10.0,,,0.0,,0
6,2017-01-02 07:00:00,39.0,Mostly Cloudy,39.0,55.0,10.0,,,0.0,,0
7,2017-01-02 08:00:00,37.0,Wintry Mix,37.0,76.0,10.0,,,0.01,,0
8,2017-01-02 09:00:00,37.0,Wintry Mix,37.0,86.0,7.0,,,0.02,,0
9,2017-01-02 10:00:00,39.0,Cloudy,39.0,82.0,10.0,,,0.01,,0
10,2017-01-02 11:00:00,40.0,Light Rain,40.0,79.0,10.0,,,0.0,,0
11,2017-01-02 12:00:00,39.0,Light Rain,39.0,82.0,10.0,,,0.0,,0
12,2017-01-02 13:00:00,39.0,Light Rain,39.0,89.0,7.0,17.0,,0.01,,0
13,2017-01-02 14:00:00,39.0,Light Rain,39.0,89.0,5.0,,,0.02,,0
